TIME,RETRIEVER_TYPE,COUNT_QUERY_RUN,TOPK_RETRIEVER,TOPK_RANKER,RANK1_MEAN,NDCG_MEAN,NDCG_LIMIT,TIME_SPENT_MEAN,CRITERIA,RETRIEVER_MODEL_NAME,RANKER_MODEL_NAME
2023-Jun-12 10:31:00,bm25,100,100,50,6.208,24.616,12,0.278,total,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:31:29,sts,100,100,50,6.283,21.228,12,0.289,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:33:18,bm25,100,400,200,9.79,24.712,12,1.084,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:35:06,sts,100,400,200,11.182,23.659,12,1.073,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:36:54,bm25,100,400,50,5.396,24.712,12,1.079,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:38:41,sts,100,400,50,5.84,23.659,12,1.071,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:40:03,bm25,100,300,200,9.38,24.784,12,0.816,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:41:25,sts,100,300,200,11.51,24.093,12,0.815,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:42:46,bm25,100,300,50,5.615,24.784,12,0.812,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:44:07,sts,100,300,50,4.72,24.093,12,0.81,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:45:03,bm25,100,200,200,7.58,24.989,12,0.553,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:45:59,sts,100,200,200,9.6,23.86,12,0.555,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:46:54,bm25,100,200,50,4.99,24.989,12,0.548,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:47:49,sts,100,200,50,5.117,23.86,12,0.551,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:48:18,bm25,100,100,200,7.04,25.979,12,0.282,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:48:47,sts,100,100,200,5.865,23.582,12,0.291,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:49:15,bm25,100,100,50,5.867,25.979,12,0.279,total_gte_5,,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 10:49:44,sts,100,100,50,5.305,23.582,12,0.289,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mMiniLM-L6-v2-pt-v2
2023-Jun-12 12:24:19,bm25,100,400,50,3.57,39.843,12,27.889,total,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 12:59:47,bm25,100,300,50,4.1,39.937,12,21.274,total,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 13:23:36,bm25,100,200,50,3.52,38.97,12,14.286,total,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 13:35:33,bm25,100,100,50,2.87,38.851,12,7.172,total,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 14:22:41,bm25,100,400,50,3.6,39.936,12,28.278,total_gte_5,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 14:58:11,bm25,100,300,50,3.16,39.915,12,21.299,total_gte_5,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 15:22:00,bm25,100,200,50,2.81,40.249,12,14.283,total_gte_5,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 15:34:00,bm25,100,100,50,2.82,39.205,12,7.197,total_gte_5,,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 17:50:46,sts,100,400,50,3.87,36.152,12,26.863,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 18:24:53,sts,100,300,50,3.81,36.022,12,20.474,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 18:47:47,sts,100,200,50,3.859,35.575,12,13.738,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 18:59:23,sts,100,100,50,3.547,32.427,12,6.953,total,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 19:45:02,sts,100,400,50,4.25,35.842,12,27.392,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 20:19:40,sts,100,300,50,3.54,36.67,12,20.772,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 20:42:52,sts,100,200,50,3.33,36.033,12,13.921,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-12 20:54:35,sts,100,100,50,2.646,35.36,12,7.024,total_gte_5,rufimelo/Legal-BERTimbau-sts-large-ma-v3,unicamp-dl/mt5-3B-mmarco-en-pt
2023-Jun-14 15:33:22,bm25,100,100,100,8.6,27.555,12,7.057,total,,unicamp-dl/mt5-3B-mmarco-en-pt-3tokens-yes
